City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Masuguru,TZ,71.49,broken clouds,-11.3667,38.4167,
617,Qandala,SO,77.56,broken clouds,11.472000000000001,49.8728,
619,Moose Jaw,CA,69.8,overcast clouds,50.4001,-105.5344,
620,Pringsewu,ID,73.45,light rain,-5.3582,104.9744,
623,Domoni,KM,80.26,broken clouds,-12.2569,44.5319,
626,Namibe,AO,78.85,overcast clouds,-15.1961,12.1522,
628,Pundaguitan,PH,80.78,overcast clouds,6.3711,126.1689,
631,Mineiros,BR,73.45,broken clouds,-17.5694,-52.5511,
634,Perth,AU,66.0,few clouds,-31.9333,115.8333,
639,Makaha,US,80.6,clear sky,21.4694,-158.2175,
642,Otukpo,NG,87.78,overcast clouds,7.1913,8.1329,
643,Porbandar,IN,78.85,clear sky,21.6422,69.6093,
644,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,
647,Emmett,US,73.0,broken clouds,43.8735,-116.4993,
648,Vallenar,CL,75.02,broken clouds,-28.5708,-70.7581,
650,Daru,PG,77.47,light rain,-9.0763,143.2092,
651,Cassilandia,BR,77.74,scattered clouds,-19.1133,-51.7342,
656,Kaili,ID,67.6,overcast clouds,-3.4626,120.2147,
661,Prieska,ZA,75.0,clear sky,-29.6641,22.7474,
664,Sibolga,ID,75.94,broken clouds,1.7427,98.7792,
667,Hirara,JP,66.2,broken clouds,24.8,125.2833,
668,Junagarh,IN,76.84,clear sky,19.8667,82.9333,
671,Iguape,BR,72.21,clear sky,-24.7081,-47.5553,
672,Luba,GQ,82.4,few clouds,3.4568,8.5547,
674,Beloha,MG,66.31,light rain,-25.1667,45.05,
680,Meiganga,CM,78.37,overcast clouds,6.5167,14.3,
681,Nacala,MZ,74.1,overcast clouds,-14.5428,40.6728,
683,Talara,PE,73.13,scattered clouds,-4.5772,-81.2719,
686,Sao Miguel Do Araguaia,BR,75.74,broken clouds,-13.275,-50.1628,
687,Thinadhoo,MV,82.92,scattered clouds,0.5333,72.9333,
688,Yanam,IN,76.35,broken clouds,16.7333,82.2167,
689,Morant Bay,JM,89.6,few clouds,17.8815,-76.4093,
690,Jalu,LY,71.06,clear sky,29.0331,21.5482,
691,Nisia Floresta,BR,82.4,few clouds,-6.0911,-35.2086,
696,Nioro,GM,79.88,overcast clouds,13.35,-15.75,
697,Karratha,AU,80.73,clear sky,-20.7377,116.8463,
698,Pokaran,IN,81.21,clear sky,26.9167,71.9167,
699,Moree,AU,69.8,broken clouds,-29.4667,149.85,
700,Loei,TH,78.01,overcast clouds,17.4167,101.5,
701,Pyapon,MM,77.74,overcast clouds,16.2833,95.6833,
703,Cumaral,CO,80.8,broken clouds,4.2708,-73.4867,
704,Muli,MV,83.55,scattered clouds,2.9167,73.5667,
707,Orocue,CO,85.24,heavy intensity rain,4.7912,-71.3354,
708,Rio Verde De Mato Grosso,BR,83.52,broken clouds,-18.9181,-54.8442,
710,Viedma,AR,81.72,clear sky,-40.8135,-62.9967,Hotel Cristal
