City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Castro,BR,-24.7911,-50.0119,59.95,90,39,6.33,scattered clouds
122,Mangrol,IN,21.1167,70.1167,78.03,78,0,8.46,clear sky
123,Wawa,NG,9.9022,4.4192,87.35,17,25,2.42,scattered clouds
124,Alofi,NU,-19.0595,-169.9187,82.4,78,100,10.36,overcast clouds
125,Bathsheba,BB,13.2167,-59.5167,82.4,57,20,12.66,few clouds
126,Half Moon Bay,US,37.4636,-122.4286,63.0,67,1,11.5,clear sky
127,Verkhnevilyuysk,RU,63.4453,120.3167,-17.3,100,99,3.38,overcast clouds
128,Tigil,RU,57.8,158.6667,25.11,85,100,3.18,overcast clouds
129,Alice Springs,AU,-23.7,133.8833,55.4,76,0,5.75,clear sky
130,Kapaa,US,22.0752,-159.319,78.8,53,75,17.27,broken clouds
131,Dunedin,NZ,-45.8742,170.5036,66.0,48,14,18.99,few clouds
132,Faanui,PF,-16.4833,-151.75,82.09,75,19,10.29,few clouds
133,Yenagoa,NG,4.9247,6.2642,79.41,84,100,6.35,overcast clouds
134,Kuala Terengganu,MY,5.3302,103.1408,79.38,83,71,3.29,broken clouds
135,Bayji,IQ,34.9311,43.487,63.28,40,0,7.63,clear sky
136,Iqaluit,CA,63.7506,-68.5145,8.6,78,20,2.3,few clouds
137,Skibbereen,IE,51.55,-9.2667,44.6,76,75,18.41,broken clouds
138,Hillsborough,US,37.5741,-122.3794,62.01,51,75,16.11,broken clouds
139,Dikson,RU,73.5069,80.5464,5.77,90,99,6.4,overcast clouds
140,Kodiak,US,57.79,-152.4072,51.8,46,1,18.41,clear sky
141,Severo-Kurilsk,RU,50.6789,156.125,29.66,82,94,14.29,overcast clouds
142,Huarmey,PE,-10.0681,-78.1522,74.68,73,33,8.55,scattered clouds
143,Chifeng,CN,42.2683,118.9636,41.94,26,66,6.13,broken clouds
144,Isangel,VU,-19.55,169.2667,78.94,68,28,18.23,scattered clouds
145,Kudahuvadhoo,MV,2.6708,72.8944,83.23,74,8,14.41,clear sky
146,Severomuysk,RU,56.1481,113.4267,7.86,96,99,5.68,light snow
147,Zaragoza,ES,41.6561,-0.8773,53.6,47,0,13.8,clear sky
148,Westport,US,41.1415,-73.3579,61.0,25,1,14.97,clear sky
149,New Norfolk,AU,-42.7826,147.0587,57.99,66,65,1.01,broken clouds
150,Ilo,PE,-17.6394,-71.3375,71.31,79,100,7.27,overcast clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,78,40,4.61,scattered clouds
152,Provideniya,RU,64.3833,-173.3,6.8,61,0,2.24,clear sky
153,Jonesboro,US,35.8423,-90.7043,72.0,33,1,13.8,clear sky
154,Bam,IR,29.106,58.357,63.0,13,55,5.5,broken clouds
155,Nikolskoye,RU,59.7035,30.7861,39.0,75,0,6.71,clear sky
156,Machico,PT,32.7,-16.7667,62.6,67,75,2.3,broken clouds
157,Narsaq,GL,60.9167,-46.05,37.4,87,90,3.44,overcast clouds
158,Najran,SA,17.4924,44.1277,69.8,23,57,2.95,dust
159,Gallatin,US,45.6666,-111.2008,75.2,10,1,16.11,clear sky
160,Benguela,AO,-12.5763,13.4055,80.2,83,99,4.88,overcast clouds
161,Georgetown,MY,5.4112,100.3354,84.0,89,20,3.67,few clouds
162,Linxia,CN,35.6003,103.2064,38.07,80,59,2.71,broken clouds
163,Jamestown,US,42.097,-79.2353,53.01,37,1,11.5,clear sky
164,Hasaki,JP,35.7333,140.8333,61.0,94,75,6.91,light rain
165,Taoudenni,ML,22.6783,-3.9836,87.15,6,78,10.54,broken clouds
166,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,13.8,few clouds
167,Laguna,US,38.421,-121.4238,69.01,42,1,8.05,clear sky
168,Srivardhan,IN,18.0333,73.0167,76.39,82,29,5.3,scattered clouds
169,Fortuna,US,40.5982,-124.1573,55.0,81,90,9.22,overcast clouds
170,Pevek,RU,69.7008,170.3133,-9.22,94,97,9.33,overcast clouds
171,Saldanha,ZA,-33.0117,17.9442,64.4,88,11,6.91,few clouds
172,Adrar,MR,20.5022,-10.0711,83.71,11,100,10.63,overcast clouds
173,Nabire,ID,-3.3667,135.4833,75.81,87,57,2.62,broken clouds
174,Grand Forks,US,47.9417,-97.4337,68.0,15,20,4.61,few clouds
175,Rampura,IN,30.25,75.2333,72.75,27,73,7.76,broken clouds
176,Neuenhagen,DE,52.5299,13.6891,44.01,73,98,11.79,overcast clouds
177,Wanaka,NZ,-44.7,169.15,61.0,71,1,5.01,clear sky
178,La Sarre,CA,48.8002,-79.1996,37.36,71,99,6.71,overcast clouds
179,Kruisfontein,ZA,-34.0033,24.7314,66.99,81,98,1.01,overcast clouds
180,Rawson,AR,-43.3002,-65.1023,82.51,32,12,23.31,few clouds
181,Hauterive,FR,46.0901,3.4459,43.0,60,0,3.44,clear sky
182,Swidnik,PL,51.219,22.6962,35.6,80,0,8.05,clear sky
183,Aloleng,PH,16.1307,119.7824,77.88,79,3,5.86,clear sky
184,Tabuk,PH,17.4189,121.4443,71.62,88,45,3.29,scattered clouds
185,Torbay,CA,47.6666,-52.7314,39.99,100,90,11.5,light intensity drizzle
186,The Valley,AI,18.217,-63.0578,84.2,65,20,11.5,few clouds
187,San Quintin,MX,30.4833,-115.95,67.39,60,33,18.16,scattered clouds
188,Qasigiannguit,GL,68.8193,-51.1922,19.4,68,75,5.75,broken clouds
189,Zabol,AF,32.25,67.25,55.54,59,100,7.38,overcast clouds
190,Scarborough,GB,54.2797,-0.4044,46.0,75,100,5.99,overcast clouds
191,Akureyri,IS,65.6835,-18.0878,17.6,67,90,14.97,light snow
192,Yang Talat,TH,16.3998,103.3679,79.0,99,98,6.13,overcast clouds
193,Zyryanka,RU,65.75,150.85,1.17,91,100,10.13,overcast clouds
194,Chuy,UY,-33.6971,-53.4616,68.68,85,12,11.83,few clouds
195,Kumluca,TR,36.3703,30.2869,56.7,76,7,4.59,clear sky
196,Hamilton,US,39.1834,-84.5333,73.4,28,1,5.75,clear sky
197,Ankang,CN,32.68,109.0172,49.33,73,100,2.82,overcast clouds
198,Lagunas,PE,-5.2269,-75.6753,72.19,98,100,1.66,overcast clouds
199,Codrington,AU,-38.2667,141.9667,58.8,64,82,6.33,broken clouds
200,Sao Filipe,CV,14.8961,-24.4956,73.38,74,8,8.63,clear sky
201,Shimoda,JP,34.6667,138.95,64.0,100,75,1.14,broken clouds
202,Yantal,RU,56.8471,105.2542,21.9,97,100,2.26,light snow
203,Umba,RU,66.6871,34.3429,33.58,99,100,10.09,overcast clouds
204,Samsun,TR,41.25,36.3333,57.0,87,75,4.61,broken clouds
205,Khorixas,NA,-20.3667,14.9667,79.14,38,45,6.24,scattered clouds
206,Toumodi,CI,6.5613,-5.0158,80.6,65,20,4.61,few clouds
207,Bantou,CN,26.2151,117.4893,63.91,86,100,2.64,overcast clouds
208,Iisalmi,FI,63.5592,27.1907,39.2,60,0,16.11,clear sky
209,Lorengau,PG,-2.0226,147.2712,80.96,79,100,2.86,overcast clouds
210,Brae,GB,60.3964,-1.353,26.6,74,75,33.38,light snow
211,Rio Grande,BR,-32.035,-52.0986,73.0,86,2,4.0,clear sky
212,Jiexiu,CN,37.0244,111.9125,45.5,45,96,2.21,overcast clouds
213,Bol,TD,13.4586,14.7147,81.81,36,19,14.27,few clouds
214,Hofn,IS,64.2539,-15.2082,17.33,57,36,22.32,scattered clouds
215,Deputatskiy,RU,69.3,139.9,-4.18,95,100,2.48,overcast clouds
216,Kirakira,SB,-10.4544,161.9205,84.6,73,65,2.3,broken clouds
